archivo,id_interaccion,agente,duracion_seg,cantidad_quejas,quejas_no_resueltas,primera_queja
amza14_1_260115141721825_ACD_76113_transcripcion.json,260115141721825_ACD_76113,MZA 14,243,1,1,"Por ahora, te digo, me siento bien, por lo menos con claro, no me quedo sin señal. Tengo acá Wifi, en mi casa. Y yo trabajo mucho por internet, ¿viste"
amza15_1_260113134717542_ACD_89125_transcripcion.json,260113134717542_ACD_89125,MZA 15,88,1,1,"Hola. Hola, ¿qué tal? Buenas tardes, ¿con Juan José? ¿Quién habla? Macarena es mi nombre, nos estamos contactando para brindarle una promoción exclusi"
amza16_1_260115142955245_ACD_17813_transcripcion.json,260115142955245_ACD_17813,MZA 16,1163,2,2,"Sí, claro, pero a ver, no pagué esta línea. Me cortaron la línea, no puedo pagar la línea todavía. Bien."
amza18_1_260114103754035_MIT_01977_transcripcion.json,260114103754035_MIT_01977,MZA 18,171,2,2,Y el día 8 me dejaron sin línea.
amza19_1_260114112648467_ACD_87219_transcripcion.json,260114112648467_ACD_87219,MZA 19,1428,3,3,Porque no puede ser casualidad.
amza19_1_260114142634599_ACD_42521_transcripcion.json,260114142634599_ACD_42521,MZA 19,970,1,1,"también trabajo dentro de unos pintales y muchas veces me quedo sin señal. Claro, tranquila que con el tema de señal hoy estamos ofreciendo lo que es "
amza19_1_260115130514986_ACD_38247_transcripcion.json,260115130514986_ACD_38247,MZA 19,125,1,1,"Movistar te pone un precio y después no llegas a cumplirlo y nunca llegas a pagar. Yo desde que trabajo y no llego a pagar lo que yo pagaba, por eso t"
amza19_1_260115133832338_ACD_38723_transcripcion.json,260115133832338_ACD_38723,MZA 19,208,1,1,"Claro, entiendo. Por eso te digo que lo que es descuento en plata no sirve. O sea, a mí no me sirve."
amza1_1_260112132202922_ACD_30059_transcripcion.json,260112132202922_ACD_30059,MZA 1,262,2,1,"¿Y cuántos son los normales? El plan básico es de 8 gigas, tiene 4 gigas de gas, es más 4 gigas de real, incluye whatsapp office y llamadas liberales "
amza1_1_260114112453788_ACD_81463_transcripcion.json,260114112453788_ACD_81463,MZA 1,141,1,1,"Realmente desconozco, porque son prestadoras. Pero bueno, yo ahora igual lo dejo asentado desde acá y en todo caso si te molestan demasiado o no funci"
amza1_1_260114114218698_ACD_35743_transcripcion.json,260114114218698_ACD_35743,MZA 1,71,1,1,"Ocho. Ocho días. Bien, perfecto. Le comento que está aquí por el mismo precio, sí, por $10,400 pesos. Pero no tengo señal con cómo visitar acá."
amza1_1_260115131211238_MIT_01956_transcripcion.json,260115131211238_MIT_01956,MZA 1,292,1,1,"Siempre pasa. Desde todas las características posibles me llaman. 348-011 Sí. Dale, te mando el celular de él. Si no es que me tenga que portar... Sí,"
amza1_1_260116125543500_ACD_28331_transcripcion.json,260116125543500_ACD_28331,MZA 1,174,1,1,"De verdad. Bien, entiendo. Mauro, y tengo una consulta antes que me cortes, porque me escribirá que estás abonando 56, supongo que lo tenés asociado t"
amza20_1_260112114134995_ACD_73973_transcripcion.json,260112114134995_ACD_73973,MZA 20,377,1,1,"Sí, todavía cuento con claro, sí. Bien, ¿de motivo de mi llamar o si era para preguntarle por qué se había ido de la compañía? ¿Qué inconvenientes hab"
amza20_1_260112130128049_ACD_65847_transcripcion.json,260112130128049_ACD_65847,MZA 20,370,1,1,"Porque yo tengo... Bueno, ahora tengo claro. Sería que tengo que cambiarla a... Me trae un otro chip, ¿no? Con el mismo número. Exactamente. Te enviam"
amza20_1_260112135430427_ACD_36377_transcripcion.json,260112135430427_ACD_36377,MZA 20,547,1,1,"Ah, por trece mil. Claro. Entonces tendría eso. Como usted estuvo en un momento en la compañía, sí, la mayoría de los otros los tenemos, le tendría qu"
amza20_1_260113115201221_ACD_90411_transcripcion.json,260113115201221_ACD_90411,MZA 20,77,1,1,"Bien, se le dio mucho a la facturación, entiendo. ¿Y el constructo tuvo algún entre inconveniente con la línea? Por ejemplo, algún problema de señal, "
amza20_1_260116144044000_ACD_90695_transcripcion.json,260116144044000_ACD_90695,MZA 20,956,3,3,"Tendrías, como te digo, 10.000. Sí, pero ¿cuánto tarda la línea? ¿Cómo decís? La línea, ¿cuánto tarda? Mira, si lo hacemos, lo normalmente hacemos en "
amza22_1_260112131945228_ACD_22527_transcripcion.json,260112131945228_ACD_22527,MZA 22,256,1,1,"de la compañía porque por el tema laboral, porque si o si necesitamos clara. Pero por qué si o si hay un problema con la señal o cómo? Claro, no hay c"
amza22_1_260112132536663_ACD_41667_transcripcion.json,260112132536663_ACD_41667,nan,0,1,1,"Y nosotros le éramos caro, ¿viste? El año pasado le éramos caro ya para ellos, decía el arquitecto, pero es mucho para la empresa, se queja."
amza22_1_260112142629728_ACD_48077_transcripcion.json,260112142629728_ACD_48077,MZA 22,132,1,1,"Y no quiero estar sin teléfono. Llamé, me dijeron que no tenían cobertura, que la antena, que pipipi, no es mi problema. Y esta es la decisión, porque"
amza22_1_260113115003853_ACD_85351_transcripcion.json,260113115003853_ACD_85351,MZA 22,706,1,1,"Ya estuve preguntando, pero me dijeron que todavía no llegamos. ¿Quieres fijarte? Para el litoral 226."
amza22_1_260113134158508_ACD_72311_transcripcion.json,260113134158508_ACD_72311,MZA 22,630,1,1,"Mira, Santa Teresa no sale completamente en verde, pero sale en amarillo. En amarillo significa que no te vas a quedar sin señal, pero no vas a tener "
amza22_1_260114112536892_ACD_84033_transcripcion.json,260114112536892_ACD_84033,MZA 22,317,1,1,"Sí, pero claro, si no le sirve... No, claro, no me sirve, por eso te digo."
amza22_1_260116110604632_ACD_34051_transcripcion.json,260116110604632_ACD_34051,MZA 22,106,1,1,"Yo tuve un mes que me pasé, porque anteriormente estaba en claro, por querer pagar mil pesos menos, estuve un mes prácticamente sin señal."
amza22_1_260116114916701_ACD_87661_transcripcion.json,260116114916701_ACD_87661,MZA 22,193,1,1,"Está bien, dale. Entonces, decime tu numerito. ¿Tenés algún número de trámite de eso? Sí, lo tengo, espera. A ver, te lo paso. Dale. Eh... El reclamo "
amza23_1_260112113323558_ACD_42821_transcripcion.json,260112113323558_ACD_42821,MZA 23,71,2,2,"No, porque no me sirve mi trabajo."
amza23_1_260112135555844_ACD_41081_transcripcion.json,260112135555844_ACD_41081,MZA 23,120,1,1,"Yo en la fábrica donde estoy, no tengo señal con movilidad, nada más. Ah, te entiendo. Claro, es más que nada eso. Claro. Bueno, dale, no hay ningún p"
amza23_1_260112141025206_ACD_94461_transcripcion.json,260112141025206_ACD_94461,MZA 23,83,1,1,No me anda Movistar.
amza23_1_260115140755753_ACD_40427_transcripcion.json,260115140755753_ACD_40427,MZA 23,66,1,1,"Me brindaron todas y la verdad que no me interesa. Soy muy conforme con mi compañía. Lo único que sí que me interesaba, que ya les dije ayer, les dije"
amza23_1_260115141911327_ACD_82897_transcripcion.json,260115141911327_ACD_82897,MZA 23,72,1,1,"Así es. Sí, no puedo tener Movistar porque no tengo señal donde vivo en la zona. 6 putas, 6 cardales."
amza23_1_260115142422286_ACD_97691_transcripcion.json,260115142422286_ACD_97691,MZA 23,89,1,1,"No, es que no tengo señal de movistar. Es una promoción del sistema 1460. ¿Usted me dice que no tiene señal? Sí, no tengo señal, por eso me cambié. Bi"
amza23_1_260116130211498_ACD_53273_transcripcion.json,260116130211498_ACD_53273,MZA 23,303,1,1,"Yo no tengo problema con Internet, sí. Bien, usted tiene Internet con claro, ¿verdad? Sí, con claro, sí. ¿Y cuánto está volando por el Internet con cl"
amza24_1_260112130148174_ACD_67191_transcripcion.json,260112130148174_ACD_67191,MZA 24,93,1,1,"Sí, pero si no tengo señal, ¿para qué quiero?"
amza24_1_260114104345995_ACD_63121_transcripcion.json,260114104345995_ACD_63121,MZA 24,862,1,1,"No, yo pedí, pero me dijeron que no llegaba, porque yo justo ayer quería pedir todo. Lo podemos verificar en todo caso más adelante."
amza24_1_260114112147310_ACD_72171_transcripcion.json,260114112147310_ACD_72171,MZA 24,210,1,1,"¿Algún momento quieren comunicar eso? Porque el trabajo, porque el teléfono lo tengo que tener todo el tiempo abricado. No, eso es que tranquila que n"
amza24_1_260114132139004_ACD_50603_transcripcion.json,260114132139004_ACD_50603,MZA 24,517,1,1,"Sí. ¿Has podido verificar si tenemos cobertura en el último tiempo? ¿O crees que lo podamos chequear? Sí, es más. Me dijeron que lo iban a vender entr"
amza24_1_260116150547492_MIT_01993_transcripcion.json,260116150547492_MIT_01993,MZA 24,179,2,1,"Después te van a quedar 12, más los 4 gigas que vas a tener extra por ser más de 8. No me sirve, hoy tengo 28, tengo un claro. Dale,"
amza26_1_260114143627597_ACD_68391_transcripcion.json,260114143627597_ACD_68391,MZA 26,87,1,1,"Porque cuando yo volví a Movistar me ofrecieron un plan espectacular que me lo mantuvieron durante 12 meses, cuando se estaba por terminar el plan, y "
amza26_1_260115113211004_ACD_06211_transcripcion.json,260115113211004_ACD_06211,MZA 26,134,2,2,"Sí, me cambié por el tema en que en mi zona hay cortes de... de electricidad y si me va la señal total de movistar o no hay corto de electricidad. Es "
amza26_1_260116121638922_ACD_50069_transcripcion.json,260116121638922_ACD_50069,MZA 26,1232,1,1,Así que seguramente a vos te esté llegando un mensaje hoy viernes. Se va a estar en las tiendas ahora en los domingos para que te quedes tranquilo. Si
amza27_1_260112112716963_ACD_22507_transcripcion.json,260112112716963_ACD_22507,MZA 27,557,1,1,"No, sigo en Temporle. Bueno, nosotros justamente nos conectamos porque ahora en la localidad no solamente hemos mejorado nuestras antenas, sino que he"
amza27_1_260116134649347_ACD_99021_transcripcion.json,260116134649347_ACD_99021,MZA 27,2332,3,3,"Sí, escúchame, está todo bien. Ustedes están molestando mucho, yo les voy a hacer juicio, pues no puede ser que estén tanto molestando, ¿de acuerdo?"
amza28_1_260116111024961_ACD_49827_transcripcion.json,260116111024961_ACD_49827,MZA 28,283,1,1,"Me dijeron que me iban a cobrar una plata terminada y ahora me la han mandado de vuelta. Querés llamar, no te dan ni cinco pelotas."
amza29_1_260112103743770_ACD_23937_transcripcion.json,260112103743770_ACD_23937,MZA 29,1133,1,1,Para que no se queden sin línea en ningún momento. Bien.
amza29_1_260116113610129_ACD_41839_transcripcion.json,260116113610129_ACD_41839,MZA 29,70,1,1,"para que puedan saber de los beneficios que tienen formando nuevamente parte de la compañía, ¿sí? ¿Vos Miguel, por ejemplo? Igualmente yo no necesito "
amza29_1_260116143248672_ACD_64135_transcripcion.json,260116143248672_ACD_64135,MZA 29,197,1,1,"Bien, yo te puedo ofrecer un plan por 10,400 pesos con 16 gigas. Son 8 de base y 8 de regalo por 6 meses. ¿Contas con WhatsApp totalmente gratis? ¿Hab"
amza2_1_260112133003673_ACD_56211_transcripcion.json,260112133003673_ACD_56211,MZA 2,189,1,1,"Eso hace cuánto se lo dijeron. Y semana pasada, la semana anterior, el año antes que termine el año también. Lo preguntó varias veces, digamos, Ramona"
amza2_1_260114113130197_ACD_01987_transcripcion.json,260114113130197_ACD_01987,MZA 2,64,1,1,"No. Mira, la verdad es que con un tema de Movistar, con un reclamo desde el día 26 de diciembre y al día de hoy no me lo pueden solucionar y me están "
amza2_1_260114144243528_ACD_86151_transcripcion.json,260114144243528_ACD_86151,MZA 2,76,1,1,"No tengo señal como movistar. Depende de dónde vaya. Ah, bien, bien, bien. Más que nada es por eso. ¿En dónde se sucede esto para verificar la cobertu"
amza30_1_260112110858415_ACD_53261_transcripcion.json,260112110858415_ACD_53261,MZA 30,233,1,1,"Igual 52 es mucho para allá, yo te lo digo, yo estoy sobre... Por eso yo... Pónele, a mitad de cuadra de la avenida de la 60, 665. Así que por eso a m"
amza30_1_260112142803017_ACD_53759_transcripcion.json,260112142803017_ACD_53759,MZA 30,247,1,1,"Y bueno, como ahora me aumentaron a nueve mil y pico, bueno, llamé para ver si podía, me dijeron que no había promoción y nada. Claro,"
amza30_1_260112143301230_ACD_69679_transcripcion.json,260112143301230_ACD_69679,MZA 30,73,1,1,"De Movistar, le estoy hablando. Ah, no, de Movistar no, porque ¿sabes qué pasa? Yo trabajo en un suelo y no tengo señal de Movistar, por eso me parece"
amza30_1_260114143041796_ACD_54587_transcripcion.json,260114143041796_ACD_54587,MZA 30,211,1,1,"Sí, pero eso me habían dicho ya hace varias veces y esperé mucho tiempo y no, ya me cansé porque también a donde yo voy me quedo sin señal."
amza30_1_260115144537006_ACD_69023_transcripcion.json,260115144537006_ACD_69023,MZA 30,123,1,1,"Ok, lo voy a testear. ¿Alguna zona en específico has tenido problemas fuera de la casa, dentro de la casa? No tengo señal ni en la vereda, así que me "
amza313_1_260112115352004_ACD_17511_transcripcion.json,260112115352004_ACD_17511,MZA 313,641,1,1,"Aparte... Y con respecto a la portabilidad, ¿cómo sería el tráfico? es muy sencillo, eso todo lo hacemos nosotros, vos no tenéis que hablar con Clara,"
amza313_1_260114143422929_ACD_62799_transcripcion.json,260114143422929_ACD_62799,MZA 313,272,1,1,"No, porque no tengo señal donde nosotros estamos."
amza313_1_260115112428817_ACD_80387_transcripcion.json,260115112428817_ACD_80387,MZA 313,286,1,1,"Otra era que yo pagaba un seguro contra robo, contra hurto, contra si le pasaba algo al teléfono, o sea, después me reconocían algo tanto en el arregl"
amza313_1_260116112807573_ACD_16241_transcripcion.json,260116112807573_ACD_16241,MZA 313,91,1,1,Porque no puede ser.
amza314_1_260112142701791_ACD_50031_transcripcion.json,260112142701791_ACD_50031,MZA 314,166,1,1,"Bien, usted me dice que se va hoy día y que el chip de Movistar le llega en cinco días. Para que usted no le llegue el chip y anular el trámite que hi"
amza31_1_260112121534145_ACD_79681_transcripcion.json,260112121534145_ACD_79681,MZA 31,64,1,1,"Mira, justo el viernes se fui acá a la oficina y ya me pasé a Movistar. Ah, ¿ya tenés hecho el trámite Rosa? ¿Vos antes estabas en claro, verdad? Sí, "
amza31_1_260112140454079_ACD_73463_transcripcion.json,260112140454079_ACD_73463,MZA 31,265,1,1,"Sí, no, voy a esperar a pagar al fin de mes que viene lo que le debo y le voy a dar de baja."
amza31_1_260115134400706_MIT_01958_transcripcion.json,260115134400706_MIT_01958,MZA 31,1238,1,1,"Nosotros te vamos a hacer seguimiento, ¿bien? Te vamos a estar avisando por WhatsApp cuando tienes que ir a la tienda de Mozart a retirar el chip. Y t"
amza31_1_260116144322929_MIT_01946_transcripcion.json,260116144322929_MIT_01946,MZA 31,1650,1,1,"Bien, vamos a proceder con lo que es primero tu cierre comercial, que es el respaldo legal del producto que vos estás adquiriendo. Bien, todo queda re"
amza32_1_260112110401488_ACD_33793_transcripcion.json,260112110401488_ACD_33793,MZA 32,106,1,1,"Bien, y ¿cuál es la atención personalizada que hemos hecho? ¿Son los asesores? En este caso sería yo. Sí, no, no. Estaba 15 años con Center, sé cómo f"
amza32_1_260112111309066_ACD_69793_transcripcion.json,260112111309066_ACD_69793,MZA 32,80,1,1,"Me fui porque me andaba mal, muy mal, y aparte de todo el problema de cobro, me cobraron una vez más, usted se me dio seis meses. Ah, bien, perfecto. "
amza32_1_260112121016332_ACD_62035_transcripcion.json,260112121016332_ACD_62035,MZA 32,592,2,2,"Mire, yo estoy esperando que pueda comprar un equipo nuevo. El que tengo no era mío. El que yo tenía me agobaron."
amza32_1_260112135440450_ACD_37007_transcripcion.json,260112135440450_ACD_37007,MZA 32,509,1,1,"Terminó contratando al final mi pareja, tenemos Movistar Fibra nosotros, pero lo tiene mi pareja porque yo en el momento de hacer el traspaso por el t"
amza32_1_260113103711273_MIT_01964_transcripcion.json,260113103711273_MIT_01964,MZA 32,585,4,4,"Está bien. Está en 13.250 al día de hoy, ¿sí? Tenés lo que es un... Sí, el problema que yo tengo con Movistar Sí. Porque yo me cambié el año pasado y "
amza32_1_260113144646492_ACD_98557_transcripcion.json,260113144646492_ACD_98557,MZA 32,132,1,1,"Sinceramente, si querés te digo el motivo, pero pagué seis meses de agono de niña fija, tuve seis meses sin servicio, como seis meses para que me borr"
amza32_1_260116113708311_ACD_45385_transcripcion.json,260116113708311_ACD_45385,MZA 32,100,1,1,"Y no me sirve porque mi hijo cae a vacaciones. Y me pasó el año pasado y cuando me ha quedado sin mi internet, o sea, no es solo el internet, es la lí"
amza32_1_260116121813997_ACD_51637_transcripcion.json,260116121813997_ACD_51637,MZA 32,523,1,1,"Justamente más que nada, para que no se quede sin señal. Y no va a hacer esto del que vos me comentabas."
amza32_1_260116134334323_ACD_86991_transcripcion.json,260116134334323_ACD_86991,MZA 32,107,1,1,Estoy muy enojada con Movistar y no me interesa.
amza33_1_260112103942184_ACD_34361_transcripcion.json,260112103942184_ACD_34361,MZA 33,298,1,1,"Sí? No, no, gracias. A día no, por suerte. Bien. Es por eso... Si tenés un plan similar, me cambio. Ahora sí, no me sirve. ¿Y vos cuánto llevas o ocup"
amza33_1_260112112808994_ACD_25193_transcripcion.json,260112112808994_ACD_25193,MZA 33,306,1,1,"No, no es que ya me hace reclamo, simplemente que por ahí me bonificaban el mes y todo, pero las últimas boletas, por ejemplo, de mi marido se iba a c"
amza33_1_260112144839111_ACD_14383_transcripcion.json,260112144839111_ACD_14383,MZA 33,170,1,1,Hace bastante. Hace bastante. ¿Y actualmente cuánto estás abonando por tu línea? Como... Bien. 28 mil pesos. Y la verdad es que es bastante lo que est
amza33_1_260114141536714_ACD_08859_transcripcion.json,260114141536714_ACD_08859,MZA 33,176,1,1,"Sin que corras miedo, digamos, de que te crees sin Internet."
amza33_1_260114143422929_ACD_62835_transcripcion.json,260114143422929_ACD_62835,MZA 33,1070,1,1,"En ningún momento, vos te quedas sin línea, ¿sí? Nosotros te vamos a estar enviando lo que es el chip a esa sucursión, que te va a llegar un WhatsApp "
amza33_1_260115140446932_ACD_28159_transcripcion.json,260115140446932_ACD_28159,MZA 33,1389,1,1,"Ahí te paso lo de la ampliación y te paso lo de la fibra más de la línea, ¿sí? OK. Y es importante que en el caso que decida que sí, ¿se queda en algú"
amza33_1_260116140844911_ACD_82961_transcripcion.json,260116140844911_ACD_82961,MZA 33,1890,2,1,"La verdad que es un plan súper accesible y muy bueno porque viene todo completo incluido, hasta con el rooming. No sé si vos viajabas fuera del país o"
amza34_1_260113124321467_ACD_93363_transcripcion.json,260113124321467_ACD_93363,MZA 34,81,1,1,"Sí, no me funciona, por eso lo corté."
amza34_1_260113144813156_ACD_04377_transcripcion.json,260113144813156_ACD_04377,MZA 34,178,1,1,"Sí, pero me llamaron 20.000 USD con las promociones de Excel, si no, ninguna no me sirve."
amza35_1_260113144010696_ACD_73389_transcripcion.json,260113144010696_ACD_73389,MZA 35,1644,2,2,"Bien, confírmeme. Ahí se lo he vuelto a mirar. Es desde el número 223. ¡Espera, que no lo escucho! Desgúlperme que se corta la señal. ¿Se puede acerca"
amza35_1_260114110211042_ACD_15701_transcripcion.json,260114110211042_ACD_15701,MZA 35,99,1,1,"Porque ya tuve línea de Movistar y no, la verdad que no. ¿Por qué no te Movistar? Movistar no, no no funciona, no tiene buena señal, la recepción no. "
amza35_1_260114112331436_ACD_77141_transcripcion.json,260114112331436_ACD_77141,MZA 35,176,1,1,"O sea, pagas más. No, no, pero quédate tranquila que hubo un error. Ese no es el importe. Por eso te digo, yo pago mucho más barato que lo que me está"
amza35_1_260114130253493_ACD_92405_transcripcion.json,260114130253493_ACD_92405,MZA 35,61,2,2,"Claro, pero ni siquiera para abonar menos de lo que están abonando ahora. No, no tiene señal, donde yo vivo no funciona, así que te agradezco, no me i"
amza35_1_260115114827521_ACD_64267_transcripcion.json,260115114827521_ACD_64267,MZA 35,178,1,1,"Bueno, igualmente te conviene por un tema de que es mejor tener a uno, porque si te quedas sin línea, por ejemplo, a la noche y tienes que ir a recarg"
amza35_1_260116121212521_ACD_43821_transcripcion.json,260116121212521_ACD_43821,MZA 35,1505,1,1,"Claro, pero de trabajar, sí, me anda, claro, en provincia, pero movistar no me andaba, por eso yo me había cambiado. No es que no quería estar de movi"
amza36_1_260113125409633_ACD_17395_transcripcion.json,260113125409633_ACD_17395,MZA 36,99,1,1,"Sí, sí, no, lo que pasa es que como ya tengo la línea con el claro en internet, ¿no entiendes? Sí, ah, perfecto. No me sirve para nada, me llaman siem"
amza36_1_260115120207441_ACD_06775_transcripcion.json,260115120207441_ACD_06775,MZA 36,165,1,1,"Por eso le queríamos hallar este plan. Perfecto, bueno. No, no me sirve. ¿Por qué Cristian no le sirve? ¿Puedo escuchar la promoción?"
amza39_1_260114120911833_ACD_01881_transcripcion.json,260114120911833_ACD_01881,MZA 39,106,1,1,Te fuiste porque estaba muy caro comprando. El día de hoy hemos entendido eso. Teníamos elevado el reclamo de por qué te fuiste de compañía.
amza39_1_260114132752512_ACD_68111_transcripcion.json,260114132752512_ACD_68111,MZA 39,89,1,1,"Habíamos visto lo que era tu reclamo por el tema del precio y, bueno, por eso queríamos ofrecerte algo mucho más económico y mucho más completo. ¿Es e"
amza39_1_260114132946043_ACD_73823_transcripcion.json,260114132946043_ACD_73823,MZA 39,225,1,1,"No, no me sirve porque ya me hicieron eso y después no pude cambiar y tuve que cambiar a claro porque me estaban cobrando una exageración cuando llamé"
amza39_1_260114140933656_ACD_89067_transcripcion.json,260114140933656_ACD_89067,MZA 39,71,1,1,Bien. No tengo línea. Estoy con prepago.
amza39_1_260115125631152_ACD_10011_transcripcion.json,260115125631152_ACD_10011,MZA 39,210,1,1,"Demora un poquito pero le va a llegar, usted no se va a quedar sin línea en ningún momento."
amza39_1_260116114249789_ACD_66427_transcripcion.json,260116114249789_ACD_66427,MZA 39,81,1,1,"Llamaba desde la área de beneficios movistar para hacerle llegar lo que es... No, o sea, dice que no me llamen más. Por favor. ¿Por qué, señorita? ¿Cu"
amza39_1_260116140748609_ACD_79085_transcripcion.json,260116140748609_ACD_79085,MZA 39,121,1,1,"Y siguen llamando y seguimos teniendo llamadas. Sí, sí, voy a llamar al ente regulador y voy a levantar una denuncia o algo. No puede ser, tres, cuatr"
amza39_1_260116145926943_ACD_54455_transcripcion.json,260116145926943_ACD_54455,MZA 39,162,1,1,"¿Y por llamada común, sin Internet?"
amza3_1_260113124712255_ACD_00719_transcripcion.json,260113124712255_ACD_00719,MZA 3,79,1,1,"No, en este momento Mozart no me sirve. Bien, ¿en cuanto a señal o por precio?"
amza3_1_260113131614402_ACD_87951_transcripcion.json,260113131614402_ACD_87951,MZA 3,229,1,1,"No funciona. ¿Ya viste ese problema anteriormente con Movistar? Sí, sí. Movistar claro no engancha, hicimos poner claro y no engancha."
amza3_1_260115125722547_ACD_12819_transcripcion.json,260115125722547_ACD_12819,MZA 3,93,1,1,"Sí, yo ya hice la denuncia que no tienen señal en el cierre de cordas. Ah, bien. Esto se pasó hace poquito. Veo que te cambiaste en febrero del año pa"
amza3_1_260115142318941_MIT_01962_transcripcion.json,260115142318941_MIT_01962,MZA 3,606,2,1,¿De mí o no puede ser? ¿En algún momento te han usado el DNI para sacar alguna línea con Movistar?
amza3_1_260116102313810_ACD_69273_transcripcion.json,260116102313810_ACD_69273,MZA 3,109,1,1,"Claro. En el caso que vos quieras, nosotros tenemos un plan sumamente más beneficioso para vos. Serían 16 gigas, es un poquito menos de las 20 que con"
amza3_1_260116104249433_ACD_51637_transcripcion.json,260116104249433_ACD_51637,MZA 3,241,1,1,"Claro. Pero eso es su factura mes a mes, no se lo van a solucionar ellos a eso. Pero al menos yo pienso que tiene que contestar cuando uno lo llama, ¿"
amza40_1_260112105033973_ACD_80491_transcripcion.json,260112105033973_ACD_80491,MZA 40,63,1,1,"Sí, sí, pero ya estoy esperando que me manden el tip."
amza40_1_260112130807427_ACD_86897_transcripcion.json,260112130807427_ACD_86897,MZA 40,126,1,1,"Además tiene un beneficio donde puede, además del plan, activar 20 gigas de regalo con una duración de 30 días cuando usted desee. Sí, el que es verda"
amza40_1_260114142533419_ACD_38647_transcripcion.json,260114142533419_ACD_38647,MZA 40,217,1,1,"Apagala. Si ahora no hay nadie que se va a bañar. No, no puede ser. Mirá el gas como está saliendo. Hola, buenas tardes. Hola, sí. Sí, buenas tardes."
amza40_1_260115132131169_ACD_86743_transcripcion.json,260115132131169_ACD_86743,MZA 40,62,1,1,"No, porque yo viajo a Santiago del Estero y Bovistar no me sirve ya."
amza40_1_260116134949943_ACD_11199_transcripcion.json,260116134949943_ACD_11199,MZA 40,193,1,1,"Sí. Pero bueno, nada, pásame a ver el plan y déjame que lo piense, a ver qué onda, si me sirve o no me sirve."
